Feature,Importance
svcscan.nservices,0.1458038924280372
svcscan.kernel_drivers,0.14580096782875193
dlllist.avg_dlls_per_proc,0.11548016049866726
svcscan.shared_process_services,0.10447084639526763
handles.nsection,0.09515526212267347
handles.avg_handles_per_proc,0.07021171932752493
handles.nmutant,0.0484147484681793
handles.nevent,0.03965969362122205
dlllist.ndlls,0.03643143421277541
pslist.avg_handlers,0.029804216221991277
handles.nhandles,0.029245105229140613
handles.nsemaphore,0.027761162620214306
handles.nthread,0.027738421973837708
ldrmodules.not_in_load,0.01839651859981755
handles.ntimer,0.017156637413193215
handles.nkey,0.010067686772985113
ldrmodules.not_in_mem,0.008928712686014218
handles.nfile,0.008714244610753125
svcscan.process_services,0.008235229556592559
psxview.not_in_deskthrd,0.0013751247892236694
svcscan.nactive,0.0013031258382025066
pslist.avg_threads,0.0012452819753521985
ldrmodules.not_in_init_avg,0.0010650829212636682
pslist.nppid,0.0009965741579337573
malfind.commitCharge,0.0009271868610787805
ldrmodules.not_in_load_avg,0.0009088473560717047
ldrmodules.not_in_mem_avg,0.000663808706600196
malfind.uniqueInjections,0.0006430077651125376
callbacks.ncallbacks,0.0005391377700309153
psxview.not_in_deskthrd_false_avg,0.0004663173188407303
malfind.protection,0.0003370073073886806
malfind.ninjections,0.0003008387685486169
pslist.nproc,0.00029498712585065176
handles.ndirectory,0.00026640397025836634
psxview.not_in_csrss_handles_false_avg,0.00024165503754622662
ldrmodules.not_in_init,0.00021139221985526675
psxview.not_in_session_false_avg,0.00016381371876595226
psxview.not_in_ethread_pool_false_avg,0.00014243477881051544
handles.ndesktop,0.00012896238234713357
psxview.not_in_pslist_false_avg,8.022898526827921e-05
psxview.not_in_ethread_pool,5.4007201463179845e-05
psxview.not_in_csrss_handles,4.2017467055142806e-05
psxview.not_in_pspcid_list_false_avg,3.345641545346185e-05
psxview.not_in_pslist,2.8543629505688114e-05
psxview.not_in_session,2.420980253230498e-05
modules.nmodules,2.081355950005633e-05
psxview.not_in_pspcid_list,1.9071582501105325e-05
handles.nport,0.0
pslist.nprocs64bit,0.0
psxview.not_in_eprocess_pool_false_avg,0.0
psxview.not_in_eprocess_pool,0.0
svcscan.interactive_process_services,0.0
svcscan.fs_drivers,0.0
callbacks.nanonymous,0.0
callbacks.ngeneric,0.0
